id_inventario,titulo,nombre_autor,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1001652,CABEZA DE MADERA,"TOLEDO, PEDRO",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001653,PAISAJE,"AVELLANEDA, MANUEL",0.0,28.5,20.0,DESCONOCIDA,PINTURA,PAPEL,ACUARELA,PAISAJE
1001654,SIN TITUTLO,DESCONOCIDO,0.0,64.0,80.5,DESCONOCIDA,PINTURA,LIENZO,OLEO,PAISAJE
1001655,MEDITERRANEO,BERNAL AGUIRRE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001656,NOCHE DE VERANO,"CHARRIS, ANGEL MATEO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001657,6 MAGNIFICOS TOROS,"GARZA,RAMON",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001658,TOTEM 3/30,"HARO, ANGEL",0.0,111.0,228.0,DESCONOCIDA,SERIGRAFIA,PAPEL,,COMPOSICION
1001659,SORPRENDETEMENTE INEDITO,J. LUIS PE�A,0.0,0.0,0.0,DESCONOCIDA,PINTURA,LIENZO,ACRILICO,SIN DEFINIR
1001660,CON SUMA ARTE,VARIOS,0.0,0.0,0.0,DESCONOCIDA,OBRA GRAFICA,PAPEL,,COMPOSICION
1001661,TITULO DESCONOCIDO,"BALLESTER, ANTONIO",0.0,0.0,0.0,DESCONOCIDA,OBRA GRAFICA,,,FIGURATIVO
1001662,TITULO DESCONOCIDO,"LUCAS, PEPE",0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,PAPEL,,SIN DEFINIR
1001663,TITULO DESCONOCIDO,"HARO, ANGEL",0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,PAPEL,,SIN DEFINIR
1001664,TITULO DESCONOCIDO,WILLI RAMOS,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,,,SIN DEFINIR
1001665,TITULO DESCONOCIDO,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,PAPEL,OTROS,COMPOSICION
1001666,BA�ISTA,MARTINEZ LAX,0.0,0.0,0.0,DESCONOCIDA,SERIGRAFIA,,,SIN DEFINIR
1001667,PAISAJE INVERNAL,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001668,FLORES Y ORZA,BERNAL AGUIRRE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001669,COLLAGE,BERNAL AGUIRRE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
