N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1002280;DESNUDO FEMENINO;VILLAESCUSA A.;;34;29;107;;ESCULTURA;;;DESNUDO;Alta patrimonial;;COMPRAVENTA;1803.04
1002281;COMPOSICION REACCION;"CAMPUZANO MORENO, ESTEBAN";01.01.1966;0;150;120;;PINTURA;LIENZO;OLEO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1652.78
1002282;COMPOSICION;"CAMPUZANO MORENO, ESTEBAN";01.01.1972;0;114;146;;PINTURA;LIENZO;OLEO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1502.53
1002283;FLORERO;CANCIO;;0;59;72;;PINTURA;LIENZO;OLEO;COMPOSICION;Alta patrimonial;;COMPRAVENTA;180.30
1002284;MUJER CONTORSIONADA;"GONZALEZ MARCO,JOSE";01.01.1984;20;43;31;;ESCULTURA;;PIEDRA;COMPOSICION;Alta patrimonial;;COMPRAVENTA;1202.02
1002285;JOVEN ARRODILLADA;"GONZALEZ MARCO,JOSE";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002286;EL CABRERO;"FLORES, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;7813.16
1002287;DON ROMAN ALBERCA;"GONZALEZ MORENO, JUAN";01.01.1970;31;29;35;;ESCULTURA;BRONCE;;RETRATO;Alta patrimonial;;COMPRAVENTA;4207.08
1002288;MUJER MEDITERRANEA;"GONZALEZ MORENO, JUAN";01.01.1957;58;36;149;;ESCULTURA;;BRONCE;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;15025.30
1002289;EL CRIMEN DE CUENCA EN LA PLAZA VIEJA;"FLORES, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;7813.16
1002290;FIGURA FEMENINA SENTADA;"GONZALEZ MORENO, JUAN";;17.5;17;38;;ESCULTURA;BARRO;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1803.04
