id_inventario,titulo,nombre_autor,fecha_creacion,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica,estado_patrimonial,usuario,alta,valor_adquisicion(euros)
1001625,MOMENTO,"CEBALLOS, TOMY",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2103.54
1001626,DAFNE,"CARBONELL TATAY, AMPARO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,3005.06
1001627,"VENUS BELLUM, VENUS BELLUM","MONTALBAN ROMERO, ROSARIO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1923.24
1001628,TITULO DESCONOCIDO,"PONTE PUCHE, JOSE",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2704.55
1001629,TRAMPA,VICENTE LOPEZ JOSE MARIA,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1442.43
1001631,TIEMPO TRAS EL TIEMPO,"HARO, ANGEL",01.01.1994,165.0,130.0,157.0,DESCONOCIDA,ESCULTURA,TELA,MADERA,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2704.55
1001632,MOVIL S/T,"CANSECO LAVADO, MIGUEL",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,901.52
1001633,"PARA MURCIA I, II, III.",ULI SCHWANDWER,01.01.1994,61.0,100.0,200.0,DESCONOCIDA,ESCULTURA,HIERRO,MARMOL,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2103.54
1001634,POR W. LAIB'94,"NOGUERO RICOL, JOSE",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Adscrito patrimonial,SERVICIO REGIONAL DE EMPLEO Y FORMA,COMPRAVENTA,2404.05
1001635,CERCA DE PORTMAN,"NIETO, ENRIQUE",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,2554.3
